Wall time,Step,Value
1688096655.8379738,0,0.7856362462043762
1688096696.3649228,1,0.8958055377006531
1688096737.2353323,2,0.9078697562217712
1688096784.389057,3,0.9162641167640686
1688096827.3265421,4,0.9203755259513855
1688096870.1328776,5,0.9231024384498596
1688096912.9192348,6,0.926019012928009
1688096955.672817,7,0.9274210333824158
1688096998.2386382,8,0.9312959313392639
1688097040.6566207,9,0.9336807727813721
1688097084.3121636,10,0.9357462525367737
1688097130.6400814,11,0.9365648031234741
1688097177.3627083,12,0.9366770386695862
1688097224.8308055,13,0.9379849433898926
1688097271.928341,14,0.9385479688644409
1688097318.3845897,15,0.9400561451911926
1688097365.2486057,16,0.9395479559898376
1688097412.3050098,17,0.9420487284660339
1688097459.692834,18,0.9406536817550659
1688097507.254118,19,0.9423651695251465
1688097555.384104,20,0.9416988492012024
1688097603.1277604,21,0.9421701431274414
1688097651.3560731,22,0.9436131715774536
1688097699.852235,23,0.9429111480712891
1688097748.252868,24,0.9447464942932129
1688097796.3361928,25,0.9432510733604431
1688097844.5169,26,0.945464015007019
1688097892.5650353,27,0.9455553889274597
1688097940.968756,28,0.9457072019577026
1688097989.351629,29,0.9483541250228882
1688098038.1106796,30,0.9462929368019104
1688098086.25091,31,0.9483431577682495
1688098134.8742383,32,0.9489160776138306
1688098183.8307545,33,0.9471253752708435
1688098233.0813806,34,0.9455461502075195
1688098282.282393,35,0.9481363892555237
1688098332.0624864,36,0.9481174349784851
1688098381.991607,37,0.9477195143699646
1688098431.121955,38,0.9468011856079102
1688098479.8560596,39,0.9472730755805969
1688098529.0950227,40,0.9474000334739685
1688098578.214041,41,0.9464111328125
1688098627.580348,42,0.9430603981018066
1688098677.1378844,43,0.9493473172187805
1688098726.7001123,44,0.948678195476532
1688098776.0211556,45,0.9489713907241821
1688098825.6684103,46,0.9495441317558289
1688098875.815145,47,0.9498479962348938
1688098926.1204462,48,0.9490925073623657
1688098975.921634,49,0.9493621587753296
1688099025.6656091,50,0.9515584111213684
1688099075.5305467,51,0.9509394764900208
1688099125.918445,52,0.9488883018493652
1688099176.3067758,53,0.9515048265457153
1688099333.6766446,54,0.9491161704063416
1688099296.571199,55,0.9491350054740906
1688099347.0425658,56,0.9491466283798218
1688099397.134056,57,0.9517244696617126
1688099446.902679,58,0.9490962028503418
1688099496.3670251,59,0.9508039951324463
1688099545.7076325,60,0.9480044841766357
1688099595.1097548,61,0.950735330581665
1688099644.8073246,62,0.9506727457046509
1688099694.173278,63,0.9493041634559631
1688099743.2830205,64,0.9512799978256226
1688099792.8511653,65,0.951876699924469
1688099842.7449508,66,0.9499015808105469
1688099892.8728757,67,0.9512790441513062
1688099943.8659775,68,0.9496705532073975
1688099994.0157316,69,0.9505741000175476
1688100044.0178096,70,0.9535877108573914
1688100094.2389982,71,0.9514387845993042
1688100144.5405207,72,0.9501232504844666
1688100194.881434,73,0.9488293528556824
1688100244.693789,74,0.9526762962341309
1688100294.792661,75,0.9490233659744263
1688100344.4532516,76,0.9519960284233093
1688100394.1472247,77,0.9523807168006897
1688100444.0412009,78,0.951949954032898
1688100494.148681,79,0.9523000121116638
1688100544.1449578,80,0.9531997442245483
1688100594.3116024,81,0.9539963603019714
1688100644.8635232,82,0.9503724575042725
1688100695.487377,83,0.9530441164970398
1688100746.1894093,84,0.9525931477546692
1688100797.124724,85,0.9526692628860474
1688100847.7303672,86,0.9524347186088562
1688100898.5124466,87,0.9544461369514465
1688100948.7931619,88,0.955557644367218
1688100999.3528242,89,0.9516236782073975
1688101155.9362814,90,0.9541388750076294
1688101120.0635035,91,0.9536640048027039
1688101170.4651592,92,0.9518861174583435
1688101221.0437381,93,0.9525498151779175
1688101271.581927,94,0.9523778557777405
1688101322.2591364,95,0.9536100625991821
1688101372.6923437,96,0.9543233513832092
1688101423.1712582,97,0.9532848596572876
1688101473.8215628,98,0.9555191993713379
1688101524.7094302,99,0.9512607455253601
